"2016 Form EIA-860 Data - Schedule 3, 'Solar Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
59100,"Sunlight General Solar Fund II, LLC",56877,Hall's Warehouse Solar Project,NJ,Middlesex,TBD,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,2,2009,,,,Y,,,,,,,5.0,1.8,,Y,,,,,Y,1.8,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,6,2006,,,,Y,,,,,,,20.0,0.3,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,6,2006,,,,Y,,,,,,,20.0,0.3,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2007,,,,Y,,,,,,,20.0,0.1,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,,20.0,0.3,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2007,,,,Y,,,,,,,20.0,0.1,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 6,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,,20.0,0.3,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,,20.0,0.3,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 8,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,,20.0,0.3,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 9,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2007,,,,Y,,,,,,,20.0,0.1,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,,20.0,0.5,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,,20.0,0.5,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,,20.0,0.5,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,,20.0,0.5,Y,,,,,,N, ,N, 
57249,EPP Renewable Energy,56889,PPL Renewable Energy Merck Solar,NJ,Union,GEN 1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.7,1.7,1.7,5,2009,,Y,,,,,,,,,20.0,1.7,Y,,,,,,N, ,N, 
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,, ,0.6,Y,,,,,,, ,, 
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,, ,0.6,Y,,,,,,, ,, 
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,3,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,, ,0.6,Y,,,,,,, ,, 
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,4,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,, ,0.6,Y,,,,,,, ,, 
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,Fresno,1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,,0.0,0.4,Y,,,,,,Y,0.3,N, 
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,Fresno,2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,,0.0,0.3,Y,,,,,,Y,0.3,N, 
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,Fresno,3,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,,0.0,0.3,Y,,,,,,Y,0.3,N, 
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,Fresno,4,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,,0.0,0.3,Y,,,,,,Y,0.3,N, 
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2008,,Y,,,,,,,,,0.0,0.5,Y,,,,,,N, ,N, 
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2008,,Y,,,,,,,,,0.0,0.5,Y,,,,,,N, ,N, 
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,8,2010,,Y,,,,,,,,,0.0,0.5,Y,,,,,,N, ,N, 
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,8,2010,,Y,,,,,,,,,0.0,0.5,Y,,,,,,N, ,N, 
56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,Imperial,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,101.0,101.0,101.0,11,2013,,Y,,,,,,,,,0.0,129.3,,Y,,,,,N, ,N, 
56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,Imperial,1A,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,64.6,64.6,64.6,12,2013,,Y,,,,,,,,,0.0,82.7,,Y,,,,,N, ,N, 
56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,Imperial,1B,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,34.3,34.3,34.3,3,2014,,Y,,,,,,,,,0.0,43.9,,Y,,,,,N, ,N, 
56431,SunE U6 Holdings LLC,56922,WWRF Solar Plant,CO,Garfield,EAST,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.4,0.4,2,2009,,Y,N,,,,,,,,20.0,0.6,Y,,,,,,Y,0.5,N, 
56431,SunE U6 Holdings LLC,56922,WWRF Solar Plant,CO,Garfield,WEST,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,0.9,0.9,2,2009,,Y,,,,,,,,,20.0,1.1,Y,,,,,,Y,1.2,N, 
6452,Florida Power & Light Co,56929,DeSoto Next Generation Solar Energy,FL,DeSoto,1,OP,Solar Photovoltaic,PV,Electric Utility,1,25.0,25.0,25.0,10,2009,,Y,,,,,,,,,0.0,27.6,Y,,,,,,N, ,N, 
6452,Florida Power & Light Co,56930,Space Coast Next Gen Solar Energy,FL,Brevard,1,OP,Solar Photovoltaic,PV,Electric Utility,1,10.0,10.0,10.0,4,2010,,,,Y,,,,,,,20.0,11.5,Y,,,,,,N, ,N, 
