plant_id,type,n,c2,c1,c0
CHEROKEE-NG-ST,ng,1,0.008689771093996016,8.13638712888705,152.23884168822892
CHEROKEE-NG-CT,ng,1,0.0002898803662342437,5.936477046660817,197.25843635088938
CHEROKEE-NG-CA,ng,1,0.008689771093996016,8.13638712888705,152.23884168822892
COMANCHE (CO)-SUB-ST,coal,1,,5400.666666666667,
FRUITA-NG-GT,ng,1,,8077.0,
GEORGETOWN HYDRO-WAT-HY,hydro,1,,8019.0,
GRAND VALLEY PROJECT POWER PLANT-WAT-HY,hydro,1,,0.0,
SALIDA-WAT-HY,hydro,1,,8015.0,
SHOSHONE (CO)-WAT-HY,hydro,1,,8045.0,
VALMONT-NG-GT,ng,1,,8013.0,
TEMESCAL-WAT-HY,hydro,1,,6065.0,
CORONA-WAT-HY,hydro,1,0.0034224249594320146,8.93314751216439,165.23589969841268
PERRIS-WAT-HY,hydro,1,,6065.0,
RIO HONDO-WAT-HY,hydro,1,,6037.0,
COYOTE CREEK-WAT-HY,hydro,1,,6059.0,
RED MOUNTAIN-WAT-HY,hydro,1,,6073.0,
VALLEY VIEW-WAT-HY,hydro,1,,6059.0,
UPPER DAWSON-WAT-HY,hydro,1,,6109.0,
MARTIN DRAKE-SUB-ST,coal,1,0.00738204470284068,9.518096855365187,36.11387925691977
GEORGE BIRDSALL-NG-ST,ng,1,,8041.0,
MANITOU SPRINGS-WAT-HY,hydro,1,,8041.0,
RUXTON PARK-WAT-HY,hydro,1,,8041.0,
BOYSEN-WAT-HY,hydro,1,,56013.0,
LAS ANIMAS-DFO-IC,dfo,1,,8011.0,
LAMAR PLANT-WND-WT,wind,1,,8099.0,
SONOMA CALIFORNIA GEOTHERMAL-GEO-ST,geothermal,1,,6033.0,
TRINIDAD (CO)-DFO-IC,dfo,1,,8071.0,
BLUE MESA-WAT-HY,hydro,1,,8051.0,
ESTES-WAT-HY,hydro,1,,8069.0,
MORROW POINT-WAT-HY,hydro,1,,8085.0,
BIG THOMPSON-WAT-HY,hydro,1,,8069.0,
GREEN MOUNTAIN-WAT-HY,hydro,1,,8117.0,
MARYS LAKE-WAT-HY,hydro,1,,8069.0,
FLATIRON-WAT-HY,hydro,1,,8069.0,
POLE HILL-WAT-HY,hydro,1,,8069.0,
LOWER MOLINA-WAT-HY,hydro,1,,8077.0,
UPPER MOLINA-WAT-HY,hydro,1,,8077.0,
HAYDEN-BIT-ST,coal,1,2.0121475109472345e-26,8.394331740333625,324.37434488640025
NUCLA-BIT-ST,coal,1,0.004069620713530868,10.845321396123886,207.44220954840057
CAMP FAR WEST-WAT-HY,hydro,1,,6061.0,
MCWILLIAMS-NG-CA,ng,1,0.004731381637380959,7.15669783456025,420.7042340892292
MCWILLIAMS-NG-CT,ng,1,0.004731381637380959,7.15669783456025,420.7042340892292
JONES FORK-WAT-HY,hydro,1,,6017.0,
MCCLELLAN (CA)-NG-GT,ng,1,,6067.0,
CAMANCHE-WAT-HY,hydro,1,,6077.0,
BRANFORD-KER-GT,dfo,1,4.221620574302038e-07,-8.869787677707318e-06,250.00002942168888
BULLS BRIDGE-WAT-HY,hydro,1,,9005.0,
COS COB-KER-GT,dfo,1,3.0754817273943245e-14,-0.1427985157432478,275.7593226877256
DEVON STATION-KER-GT,dfo,1,,9009.0,
MONTVILLE STATION-RFO-ST,dfo,1,,9011.0,
KETTLE FALLS GENERATING STATION-WDS-ST,other,1,,53065.0,
KETTLE FALLS GENERATING STATION-NG-GT,ng,1,,53065.0,
SCOTLAND DAM-WAT-HY,hydro,1,,9015.0,
SHEPAUG-WAT-HY,hydro,1,,9009.0,
STEVENSON-WAT-HY,hydro,1,,9001.0,
TAFTVILLE-WAT-HY,hydro,1,,9011.0,
TUNNEL-WAT-HY,hydro,1,2.560899477675889e-22,7.6087106189189235,123.88049315303154
RAINBOW (CT)-WAT-HY,hydro,1,,9003.0,
FALLS VILLAGE-WAT-HY,hydro,1,,9005.0,
FRANKLIN DRIVE-KER-GT,dfo,1,3.2575971172690984e-07,-6.974192507305113e-06,250.0000217231335
MIDDLETOWN-KER-GT,dfo,1,4.2682501960682383e-07,-8.275997108990359e-06,250.0000290451844
