plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance,lat,lon,zip,state
10406,161780,0.0,0.0,0.0,0.0,0.0,0.0,1,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,1243.376036115117,35.441965712,-97.648178966,73179,OK
10407,308754,15.0,0.0,0.0,0.0,0.0,0.0,1,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,other,Western,0.0,0.0,0.0,0.0,112.10881842736242,37.874056,-120.477556,95327,CA
10408,144388,24.0,0.0,0.0,0.0,0.0,0.0,1,180.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,1591.764578759282,39.8713,-75.155683,08093,NJ
10410,144388,24.0,0.0,0.0,0.0,0.0,0.0,1,71.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,1591.764578759282,39.8713,-75.155683,08093,NJ
10412,122218,1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,2216.020404890552,41.87191,-88.28772,60510,IL
10414,136536,0.5,0.0,0.0,0.0,0.0,0.0,1,2.4000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,3942.447606832615,41.54761784,-73.425266984,06776,CT
10417,125168,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,4944.346181548462,42.988589239,-77.796493767,14546,NY
10419,139479,0.5,0.0,0.0,0.0,0.0,0.0,1,2.4000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,4739.476611997166,38.658843769,-90.120678337,62202,IL
10422,144052,0.8,0.0,0.0,0.0,0.0,0.0,1,9.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,2918.695391945475,43.081662,-77.381635,14450,NY
10430,304810,0.8,0.0,0.0,0.0,0.0,0.0,1,6.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,ng,Texas,0.0,0.0,0.0,0.0,3787.993118709814,33.020341049,-96.96222035,75067,TX
