plant_id,type,startup,shutdown,n,c2,c1,c0,interconnect
19428,2,0,0,3,0.0084113754236792,1.9095419559228808,790.3751364027272,Eastern
19429,2,0,0,3,0.0,18181.0,0.0,Eastern
19435,2,0,0,3,0.0,25027.0,0.0,Eastern
19436,2,0,0,3,0.0,0.0,0.0,Eastern
19438,2,0,0,3,0.0,37153.0,0.0,Eastern
19439,2,0,0,3,0.0,4019.0,0.0,Western
19440,2,0,0,3,0.0,25023.0,0.0,Eastern
19442,2,0,0,3,0.0,0.0,0.0,Eastern
19445,2,0,0,3,0.0,10003.0,0.0,Eastern
19447,2,0,0,3,0.0,4013.0,0.0,Western
19449,2,0,0,3,0.0,4013.0,0.0,Western
19450,2,0,0,3,0.0,26123.0,0.0,Eastern
19452,2,0,0,3,0.0,49021.0,0.0,Western
19453,2,0,0,3,0.0,49021.0,0.0,Western
19454,2,0,0,3,0.0,9003.0,0.0,Eastern
19455,2,0,0,3,0.0,36027.0,0.0,Eastern
19456,2,0,0,3,0.0,41003.0,0.0,Western
19464,2,0,0,3,0.0,17031.0,0.0,Eastern
19465,2,0,0,3,0.0,37091.0,0.0,Eastern
19467,2,0,0,3,0.0,34017.0,0.0,Eastern
19468,2,0,0,3,0.0,6037.0,0.0,Western
19469,2,0,0,3,0.0,6071.0,0.0,Western
19470,2,0,0,3,0.0,9009.0,0.0,Eastern
19471,2,0,0,3,0.0,6085.0,0.0,Western
19472,2,0,0,3,0.0,6001.0,0.0,Western
19473,2,0,0,3,0.0,6071.0,0.0,Western
19474,2,0,0,3,0.0,6085.0,0.0,Western
19475,2,0,0,3,0.0,8031.0,0.0,Western
19476,2,0,0,3,0.0,18089.0,0.0,Eastern
19477,2,0,0,3,0.0,47179.0,0.0,Eastern
19480,2,0,0,3,0.0,55009.0,0.0,Eastern
19482,2,0,0,3,0.0,24017.0,0.0,Eastern
19483,2,0,0,3,7.592628440571194e-26,6.269287054703818,200.9683932215352,Texas
19485,2,0,0,3,0.0032060032294826,3.356738413547366,736.6190098705101,Texas
19486,2,0,0,3,0.0,32003.0,0.0,Western
19488,2,0,0,3,0.0,25015.0,0.0,Eastern
19489,2,0,0,3,0.0,36007.0,0.0,Eastern
19490,2,0,0,3,0.0,49045.0,0.0,Western
19491,2,0,0,3,0.0,37025.0,0.0,Eastern
19492,2,0,0,3,0.0,4015.0,0.0,Western
19495,2,0,0,3,0.0,25013.0,0.0,Eastern
19496,2,0,0,3,0.0,25013.0,0.0,Eastern
19497,2,0,0,3,0.0,18097.0,0.0,Eastern
19498,2,0,0,3,0.0,37105.0,0.0,Eastern
19499,2,0,0,3,0.0,37069.0,0.0,Eastern
19501,2,0,0,3,0.0,37105.0,0.0,Eastern
19502,2,0,0,3,0.0,37051.0,0.0,Eastern
19503,2,0,0,3,0.0,37107.0,0.0,Eastern
19504,2,0,0,3,0.0,37165.0,0.0,Eastern
19505,2,0,0,3,0.0,18097.0,0.0,Eastern
19506,2,0,0,3,0.0,37163.0,0.0,Eastern
19507,2,0,0,3,0.0,55037.0,0.0,Eastern
19509,2,0,0,3,0.0,20191.0,0.0,Eastern
19511,2,0,0,3,0.0,25027.0,0.0,Eastern
19512,2,0,0,3,0.0,6029.0,0.0,Western
19513,2,0,0,3,0.0,24005.0,0.0,Eastern
19514,2,0,0,3,0.0,24019.0,0.0,Eastern
19515,2,0,0,3,0.0,13163.0,0.0,Eastern
19518,2,0,0,3,0.0,51155.0,0.0,Eastern
19536,2,0,0,3,0.0,17031.0,0.0,Eastern
19540,2,0,0,3,0.0,0.0,0.0,Western
