puma,state,hh_total,moe_total,hh_utilgas,moe_utilgas,hh_othergas,moe_othergas,hh_elec,moe_elec,hh_fok,moe_fok,hh_coal,moe_coal,hh_wood,moe_wood,hh_solar,moe_solar,hh_other,moe_other,hh_none,moe_none
puma_2201700,LA,49720,653,10724,658,1482,231,36469,849,73,48,38,46,822,230,0,29,0,29,112,88
puma_2201800,LA,61706,821,15271,719,4128,516,41297,1018,112,61,0,29,652,163,0,29,121,86,125,74
puma_2201900,LA,41817,493,15317,571,184,83,26128,717,19,30,0,29,55,48,0,29,41,45,73,53
puma_2202000,LA,43649,549,15708,626,426,143,27302,705,5,9,0,29,92,71,22,25,11,17,83,48
puma_2202100,LA,39226,529,15740,711,287,108,23046,801,0,29,0,29,44,59,16,25,21,32,72,52
puma_2202200,LA,45688,621,17620,740,1472,299,26141,744,0,29,9,15,369,163,4,6,28,31,45,37
puma_2202201,LA,42208,662,12978,618,1152,239,27903,811,0,29,0,29,87,67,0,29,0,29,88,57
puma_2202300,LA,42457,733,19236,522,149,66,22946,808,0,29,0,29,62,45,4,6,0,29,60,41
puma_2202301,LA,57624,718,30493,711,342,97,26603,748,0,29,5,9,37,35,10,17,19,21,115,76
puma_2202302,LA,48396,642,18767,670,277,86,29187,661,23,22,0,29,42,34,14,21,36,46,50,39
puma_2202400,LA,45605,723,18944,618,252,99,26159,784,26,41,0,29,51,44,0,29,18,26,155,72
puma_2202401,LA,46307,782,21098,699,346,114,24523,743,46,42,0,29,6,10,0,29,43,31,245,91
puma_2202402,LA,51939,744,24723,745,343,95,26603,880,13,16,0,29,4,9,16,19,34,44,203,80
puma_2202500,LA,39543,557,15542,609,634,172,23187,663,37,46,0,29,107,73,0,29,0,29,36,32
puma_2300100,ME,44528,500,142,53,1601,162,2307,223,31746,595,495,95,7296,294,46,24,713,98,182,88
puma_2300200,ME,64979,657,209,85,3859,292,2653,280,42021,791,153,81,15189,510,79,57,727,134,89,52
puma_2300300,ME,62674,626,1762,283,3148,379,3289,360,45912,756,203,79,7387,373,19,28,895,177,59,42
puma_2300400,ME,51276,496,267,87,2109,296,1849,290,40299,750,123,94,6115,473,15,17,460,104,39,36
puma_2300500,ME,72275,723,475,153,6968,428,3316,303,49120,823,176,83,11407,525,70,46,595,127,148,62
puma_2300600,ME,44154,559,3524,392,2266,296,1501,257,32682,756,18,17,3558,346,15,24,478,132,112,53
puma_2300700,ME,42311,712,1363,218,5196,434,1528,248,30000,733,52,27,3553,358,14,17,261,106,344,149
puma_2300800,ME,70099,732,698,173,6864,562,3275,350,50609,945,163,78,7502,461,50,56,795,178,143,86
puma_2300900,ME,51529,582,2831,378,4331,443,2200,391,39445,850,94,77,2215,277,64,54,308,99,41,43
puma_2301000,ME,49383,588,14197,634,1994,233,3646,399,27912,742,110,66,971,233,10,12,406,122,137,70
puma_2400100,MD,40891,637,15662,538,1899,275,10337,579,7884,461,1393,203,3293,308,20,22,282,91,121,63
puma_2400200,MD,55798,570,12376,567,2543,299,25003,736,13265,622,22,25,2010,253,40,48,304,104,235,89
puma_2400301,MD,42412,429,8909,428,2693,349,20506,618,7535,507,57,41,2371,289,21,27,276,134,44,40
puma_2400302,MD,43147,560,17539,640,552,165,20960,774,3704,321,0,29,229,81,0,29,93,58,70,51
puma_2400400,MD,59684,497,12008,507,2707,352,26941,886,14868,623,192,111,2542,289,0,29,256,94,170,88
puma_2400501,MD,45494,486,11297,504,3091,280,16270,601,13016,575,162,85,1051,182,0,29,496,133,111,62
puma_2400502,MD,48918,718,27332,992,229,133,19914,1056,1239,253,0,29,129,83,4,12,45,54,26,31
puma_2400503,MD,47433,446,29378,719,397,120,14285,646,3132,309,56,86,52,44,0,29,75,54,58,40
puma_2400504,MD,45826,502,27309,735,394,109,14016,659,3676,312,0,29,143,66,0,29,212,132,76,44
puma_2400505,MD,41770,522,20586,664,480,145,15790,592,4488,367,5,8,251,123,0,29,66,43,104,58
puma_2400506,MD,42990,553,28048,650,434,113,9884,547,4003,281,8,13,216,74,0,29,258,84,139,57
puma_2400507,MD,42392,488,24444,666,346,107,13406,638,3774,347,0,29,210,123,0,29,144,105,68,56
puma_2400601,MD,47747,565,15032,645,3405,380,16450,681,10640,487,76,50,1395,216,9,15,633,164,107,71
puma_2400602,MD,42333,515,17644,701,1016,183,19606,754,3534,363,0,29,263,105,0,29,234,101,36,33
puma_2400700,MD,35942,534,6247,517,6752,469,12028,670,9156,592,129,73,1190,212,26,29,299,99,115,60
