puma,state,htg_slope_com_btu_m2_degC
puma_2400803,MD,7.047819690048810
puma_2400804,MD,7.047819690048810
puma_2400805,MD,7.047819690048810
puma_2400901,MD,7.047819690048810
puma_2400902,MD,7.047819690048810
puma_2401001,MD,7.047819690048810
puma_2401002,MD,7.047819690048810
puma_2401003,MD,7.047819690048810
puma_2401004,MD,7.047819690048810
puma_2401005,MD,7.047819690048810
puma_2401006,MD,7.047819690048810
puma_2401007,MD,7.047819690048810
puma_2401101,MD,7.047819690048810
puma_2401102,MD,7.047819690048810
puma_2401103,MD,7.047819690048810
puma_2401104,MD,7.047819690048810
puma_2401105,MD,7.047819690048810
puma_2401106,MD,7.047819690048810
puma_2401107,MD,7.047819690048810
puma_2401201,MD,7.047819690048810
puma_2401202,MD,7.047819690048810
puma_2401203,MD,7.047819690048810
puma_2401204,MD,7.047819690048810
puma_2401300,MD,7.047819690048810
puma_2401400,MD,7.047819690048810
puma_2401500,MD,7.047819690048810
puma_2401600,MD,7.047819690048810
puma_2500100,MA,6.720876506626400
puma_2500200,MA,6.720876506626400
puma_2500300,MA,6.720876506626400
puma_2500301,MA,6.720876506626400
puma_2500302,MA,6.720876506626400
puma_2500303,MA,6.720876506626400
puma_2500304,MA,6.720876506626400
puma_2500400,MA,6.720876506626400
puma_2500501,MA,6.720876506626400
puma_2500502,MA,6.720876506626400
puma_2500503,MA,6.720876506626400
puma_2500504,MA,6.720876506626400
puma_2500505,MA,6.720876506626400
puma_2500506,MA,6.720876506626400
puma_2500507,MA,6.720876506626400
puma_2500508,MA,6.720876506626400
puma_2500701,MA,6.720876506626400
puma_2500702,MA,6.720876506626400
puma_2500703,MA,6.720876506626400
puma_2500704,MA,6.720876506626400
puma_2501000,MA,6.720876506626400
puma_2501300,MA,6.720876506626400
puma_2501400,MA,6.720876506626400
puma_2501600,MA,6.720876506626400
puma_2501900,MA,6.720876506626400
puma_2501901,MA,6.720876506626400
puma_2501902,MA,6.720876506626400
puma_2502400,MA,6.720876506626400
puma_2502800,MA,6.720876506626400
