puma,latitude,longitude
puma_1209910,28.275453,-82.7825474
puma_1209911,27.8433313,-82.7933426
puma_1210101,29.986659,-81.4179495
puma_1210102,30.7036328,-87.0142549
puma_1210103,27.0799538,-80.3982112
puma_1210104,26.8064716,-80.0510503
puma_1210301,26.5424516,-82.1019765
puma_1210302,26.9241569,-80.1718836
puma_1210303,29.6375252,-81.664502
puma_1210304,28.0764509,-82.5946056
puma_1210305,28.5258604,-81.1024583
puma_1210306,28.4140627,-81.1469546
puma_1210307,26.7126594,-80.0837888
puma_1210308,26.5335922,-80.1040915
puma_1210501,26.4598072,-80.1151831
puma_1210502,25.7428519,-80.1664357
puma_1210503,26.6601243,-81.9975893
puma_1210504,26.2561171,-81.7599079
puma_1210700,30.3465823,-81.5709837
puma_1210900,27.8558258,-82.5053299
puma_1211101,26.6758423,-81.6978681
puma_1211102,27.2724685,-80.3809053
puma_1211300,25.7003634,-80.4479058
puma_1211501,25.7414175,-80.4340085
puma_1211502,25.9261137,-80.3610306
puma_1211503,29.0290228,-82.0850432
puma_1211701,25.6983953,-80.361841
puma_1211702,29.1770597,-82.1565716
puma_1211703,28.2072356,-82.3860979
puma_1211704,28.5800096,-81.9120969
puma_1212100,28.3415126,-82.263396
puma_1212701,28.9344948,-81.5641892
puma_1212702,28.7457691,-81.3931979
puma_1212703,27.9670396,-81.8520382
puma_1212704,28.6045929,-81.3791536
puma_1300100,33.8289967,-84.2218282
puma_1300200,33.9075729,-84.3085821
puma_1300300,33.3528965,-84.7621381
puma_1300401,33.1096584,-84.9109985
puma_1300402,33.5822366,-85.0805272
puma_1300500,31.960397,-81.070357
puma_1300600,31.1028352,-82.5215351
puma_1300700,30.8336801,-83.2689668
puma_1300800,31.3383303,-83.3979813
puma_1300900,31.20564,-83.8469507
puma_1301001,31.6639438,-84.1792937
puma_1301002,33.9253155,-84.3728766
puma_1301003,34.0457585,-84.2187616
puma_1301004,33.6928651,-84.4951753
puma_1301005,33.5892983,-84.6367665
puma_1301006,34.0831022,-84.3296024
puma_1301007,33.8228724,-84.4047178
puma_1301008,33.7360153,-84.3619647
puma_1301100,33.6762981,-84.2209564
puma_1301200,31.1985722,-84.5293387
puma_1301300,32.3724279,-83.5970156
puma_1301400,32.9199444,-83.5362863
puma_1301500,32.4241346,-84.8279403
puma_1301600,32.2146646,-84.444103
puma_1301700,33.098226,-84.2250998
puma_1301800,33.7431222,-84.1396736
puma_1301900,33.7663416,-84.2857366
puma_1302001,34.7132999,-85.3186992
puma_1302002,34.8017261,-84.968541
puma_1302003,34.6742401,-84.5785413
puma_1302004,33.4127172,-84.4939407
puma_1302100,34.0726523,-85.2039207
puma_1302200,33.833347,-84.028731
puma_1302300,33.9055581,-84.1164692
puma_1302400,33.5505555,-82.2513423
puma_1302500,34.3401807,-84.5703649
puma_1302600,34.0303045,-84.6479832
puma_1302700,33.2406116,-82.4988693
puma_1302800,33.5891106,-83.9063129
puma_1302900,33.6993166,-84.7659441
puma_1303001,33.9209028,-84.8669788
puma_1303002,34.2409175,-84.8381879
puma_1303003,33.9494618,-84.5337281
puma_1303004,34.7287725,-83.8161805
puma_1303005,34.225143,-84.1273355
puma_1303101,34.3175876,-83.8184973
puma_1303102,34.4501845,-83.3015874
puma_1303200,33.9522337,-83.3671299
puma_1303300,33.894929,-84.6624944
puma_1303400,33.8372473,-84.536635
puma_1303500,34.006448,-84.4623072
puma_1303600,34.1803379,-84.4927357
puma_1303700,33.8950699,-83.1144987
puma_1303800,34.0851472,-83.6079752
puma_1303900,33.5506697,-83.6382039
puma_1304000,33.361487,-82.0749983
puma_1304001,33.7442726,-84.4532162
puma_1304002,33.4832159,-84.3489281
puma_1304003,33.5972829,-84.3681284
puma_1304004,33.4060973,-84.12518
puma_1304005,33.5342347,-84.1950899
puma_1304006,33.9726462,-84.1784926
puma_1304100,34.0957404,-84.0036303
puma_1304200,33.9469981,-83.9788716
puma_1304300,33.9813033,-83.9090796
puma_1304400,31.9117588,-82.3379575
