puma,state,htg_slope_res_mmbtu_m2_degC
puma_1208621,FL,6.944703529205414e-06
puma_1208622,FL,6.917940730162601e-06
puma_1208623,FL,6.930215385958016e-06
puma_1208624,FL,6.9290783793079286e-06
puma_1208700,FL,7.015301280681833e-06
puma_1208900,FL,6.2815345973617025e-06
puma_1209100,FL,6.097460955546091e-06
puma_1209300,FL,6.78354093776514e-06
puma_1209501,FL,6.572011347485062e-06
puma_1209502,FL,6.7041649691614246e-06
puma_1209503,FL,6.692636296948819e-06
puma_1209504,FL,6.734582369261414e-06
puma_1209505,FL,6.7504849115735e-06
puma_1209506,FL,6.7504849115735e-06
puma_1209507,FL,6.7504849115735e-06
puma_1209508,FL,6.7504849115735e-06
puma_1209509,FL,6.72224393481123e-06
puma_1209510,FL,6.74159898120567e-06
puma_1209701,FL,6.6775324134758756e-06
puma_1209702,FL,6.695056200660113e-06
puma_1209901,FL,6.892935135793602e-06
puma_1209902,FL,6.884780375626151e-06
puma_1209903,FL,6.931007082539667e-06
puma_1209904,FL,6.931007082539667e-06
puma_1209905,FL,6.931919802947182e-06
puma_1209906,FL,6.941651707545547e-06
puma_1209907,FL,6.945303709242624e-06
puma_1209908,FL,6.961582589935507e-06
puma_1209909,FL,6.954746815064101e-06
puma_1209910,FL,6.938790116693192e-06
puma_1209911,FL,6.875148751058103e-06
puma_1210101,FL,6.710828624037343e-06
puma_1210102,FL,6.626519518145011e-06
puma_1210103,FL,6.681782492040423e-06
puma_1210104,FL,6.72786176715669e-06
puma_1210301,FL,6.690925509199745e-06
puma_1210302,FL,6.750178565003658e-06
puma_1210303,FL,6.790185066588902e-06
puma_1210304,FL,6.790185066588902e-06
puma_1210305,FL,6.791951072980973e-06
puma_1210306,FL,6.7950643052415755e-06
puma_1210307,FL,6.815521564292656e-06
puma_1210308,FL,6.818647724244305e-06
puma_1210501,FL,6.749581732109932e-06
puma_1210502,FL,6.734056963234312e-06
puma_1210503,FL,6.772487909932744e-06
puma_1210504,FL,6.7616297382603075e-06
puma_1210700,FL,6.4877922670273735e-06
puma_1210900,FL,6.463348876525719e-06
puma_1211101,FL,6.803399486933768e-06
puma_1211102,FL,6.847852824821177e-06
puma_1211300,FL,6.192958823456112e-06
puma_1211501,FL,6.781620145728351e-06
puma_1211502,FL,6.779719372024354e-06
puma_1211503,FL,6.800898694278797e-06
puma_1211701,FL,6.673737241404176e-06
puma_1211702,FL,6.6998760191570775e-06
puma_1211703,FL,6.738867718493486e-06
puma_1211704,FL,6.714679538670926e-06
puma_1212100,FL,6.241325361825262e-06
puma_1212701,FL,6.540229205693723e-06
puma_1212702,FL,6.570956045115437e-06
puma_1212703,FL,6.614811415343902e-06
puma_1212704,FL,6.639903402371543e-06
puma_1300100,GA,7.554594750042555e-06
puma_1300200,GA,7.476308535237622e-06
puma_1300300,GA,7.227448197489946e-06
puma_1300401,GA,7.359058425368623e-06
puma_1300402,GA,7.359863231564238e-06
puma_1300500,GA,7.347907905495061e-06
puma_1300600,GA,7.459075362141282e-06
puma_1300700,GA,7.288311583275342e-06
puma_1300800,GA,7.413778569848573e-06
puma_1300900,GA,7.270644053300434e-06
puma_1301001,GA,6.653025622965441e-06
puma_1301002,GA,6.336138149973259e-06
puma_1301003,GA,6.770550928917531e-06
puma_1301004,GA,6.773849954734461e-06
puma_1301005,GA,6.337715697423194e-06
puma_1301006,GA,6.702601555078873e-06
puma_1301007,GA,6.7321287567252694e-06
puma_1301008,GA,6.6877269692169635e-06
puma_1301100,GA,7.3195058167567535e-06
puma_1301200,GA,7.252322664298423e-06
puma_1301300,GA,7.094380373600118e-06
puma_1301400,GA,7.014227671315687e-06
puma_1301500,GA,7.01678727630944e-06
puma_1301600,GA,6.901170555847163e-06
puma_1301700,GA,7.102599939814137e-06
puma_1301800,GA,7.002282229082776e-06
puma_1301900,GA,6.776304414549853e-06
puma_1302001,GA,6.6909515076278e-06
puma_1302002,GA,6.692739164908684e-06
puma_1302003,GA,6.692739164908684e-06
puma_1302004,GA,6.692739164908684e-06
puma_1302100,GA,6.676940871097493e-06
puma_1302200,GA,6.808616328205268e-06
puma_1302300,GA,6.487564154919533e-06
puma_1302400,GA,6.6832128736272425e-06
puma_1302500,GA,6.531651508773297e-06
puma_1302600,GA,6.3714806838337585e-06
puma_1302700,GA,6.4896299665169e-06
puma_1302800,GA,6.390003316932897e-06
puma_1302900,GA,6.5635641742644115e-06
puma_1303001,GA,6.566178282806084e-06
puma_1303002,GA,6.5037830135820755e-06
puma_1303003,GA,6.5404051626319086e-06
puma_1303004,GA,6.6346680985546485e-06
puma_1303005,GA,6.386132407093349e-06
puma_1303101,GA,6.333680442383775e-06
puma_1303102,GA,6.3865553287862665e-06
puma_1303200,GA,6.090678244731707e-06
puma_1303300,GA,6.363802219521715e-06
puma_1303400,GA,6.5409338515393495e-06
puma_1303500,GA,6.4710698023764715e-06
puma_1303600,GA,6.75741263350863e-06
