"puma","state","hh_total","moe_total","hh_utilgas","moe_utilgas","hh_othergas","moe_othergas","hh_elec","moe_elec","hh_fok","moe_fok","hh_coal","moe_coal","hh_wood","moe_wood","hh_solar","moe_solar","hh_other","moe_other","hh_none","moe_none"
"puma_1702501","IL","58489","536","39544","604","7840","319","9643","505","337","84","20","25","573","104","9","11","328","89","195","53"
"puma_1702601","IL","38150","516","27987","580","2350","191","7163","619","285","140","39","48","78","49","0","27","168","109","80","59"
"puma_1702700","IL","40760","441","26808","543","5904","373","6669","491","361","120","0","27","658","136","0","27","209","117","151","80"
"puma_1702801","IL","80091","681","66715","781","1606","189","10548","639","73","46","12","15","294","123","14","19","393","141","436","91"
"puma_1702901","IL","53259","729","45220","796","1611","221","5954","561","80","50","0","27","157","82","0","27","146","73","91","68"
"puma_1703005","IL","46996","942","38676","882","435","138","7378","486","20","23","0","27","32","34","13","20","196","95","246","93"
"puma_1703007","IL","42566","543","38622","581","265","114","3398","341","17","27","0","27","0","27","0","27","65","50","199","117"
"puma_1703008","IL","45773","653","39634","717","399","108","4958","534","0","27","21","22","6","11","0","27","231","143","524","180"
"puma_1703009","IL","44302","685","40619","844","1281","279","2138","340","18","25","0","27","51","83","7","11","160","132","28","31"
"puma_1703102","IL","46403","670","40186","702","287","101","5591","444","38","30","0","27","53","49","0","27","144","61","104","48"
"puma_1703105","IL","44890","600","41556","660","283","109","2803","374","11","17","0","27","20","24","20","32","108","59","89","42"
"puma_1703106","IL","53833","604","50619","645","355","109","2734","315","8","12","0","27","17","21","0","27","66","59","34","32"
"puma_1703107","IL","42593","495","40157","530","427","98","1878","233","0","27","0","27","12","19","0","27","22","24","97","53"
"puma_1703108","IL","41779","497","34212","574","2382","216","4610","367","118","59","10","16","75","36","27","27","296","132","49","32"
"puma_1703202","IL","42960","485","36746","575","381","102","5291","407","10","16","0","27","7","13","0","27","283","145","242","88"
"puma_1703203","IL","47149","526","39811","689","430","109","6542","464","16","18","0","27","7","11","0","27","128","69","215","91"
"puma_1703204","IL","58013","671","50731","717","337","110","6190","469","41","29","21","25","12","18","23","25","296","119","362","155"
"puma_1703205","IL","48509","546","40090","614","316","97","7496","484","18","20","19","29","0","27","0","27","247","85","323","85"
"puma_1703207","IL","42125","656","34680","667","298","85","6766","462","18","19","0","27","17","18","0","27","155","82","191","73"
"puma_1703208","IL","59594","661","52808","709","499","125","5729","457","27","43","10","15","13","21","0","27","265","96","243","96"
"puma_1703209","IL","44441","582","37642","707","368","92","6195","423","0","27","0","27","11","16","0","27","98","48","127","76"
"puma_1703306","IL","56158","547","50197","700","521","122","4897","460","45","46","4","9","132","79","0","27","207","105","155","94"
"puma_1703307","IL","46984","811","38442","923","408","134","7450","651","35","32","0","27","73","78","29","26","316","127","231","105"
"puma_1703308","IL","42131","596","37715","630","274","89","3788","356","9","15","0","27","31","29","28","45","102","88","184","92"
"puma_1703309","IL","51905","633","43047","694","522","147","7930","511","34","49","0","27","22","23","0","27","237","120","113","54"
"puma_1703310","IL","48963","523","43254","597","316","95","4904","403","52","47","4","7","23","27","0","27","186","87","224","88"
"puma_1703401","IL","47980","645","39454","739","510","140","7511","465","25","21","0","27","8","13","23","25","206","87","243","88"
"puma_1703407","IL","63395","902","53311","908","581","173","8640","625","64","53","10","17","44","58","0","27","283","130","462","125"
"puma_1703408","IL","61818","767","54803","838","619","143","4980","514","107","50","0","27","28","35","0","27","589","141","692","179"
"puma_1703409","IL","52773","782","46029","794","594","171","5617","440","34","30","14","24","49","39","46","51","198","75","192","84"
"puma_1703410","IL","65085","774","57975","848","320","135","6348","505","15","24","9","15","77","55","14","22","99","60","228","91"
"puma_1703411","IL","64229","922","55383","980","740","177","7504","702","42","28","0","27","7","11","0","27","286","150","267","111"
"puma_1703412","IL","40138","888","36013","824","374","111","3547","411","0","27","0","27","0","27","11","17","100","70","93","62"
"puma_1703413","IL","60465","979","52347","1009","551","133","7085","569","56","38","0","27","36","48","0","27","111","55","279","103"
"puma_1703414","IL","60494","1015","53516","1007","416","131","6166","559","15","24","8","12","31","38","18","21","124","73","200","97"
"puma_1703415","IL","48706","656","40211","724","588","151","7361","424","29","27","6","10","13","22","34","35","176","99","288","98"
"puma_1703416","IL","53509","485","44316","556","286","93","8351","472","50","45","0","27","47","37","0","27","247","106","212","81"
"puma_1703417","IL","40840","718","36151","759","296","95","4026","393","44","42","0","27","10","17","22","30","126","72","165","81"
