"puma","state","htg_slope_res_btu_m2_degC"
"puma_1203105","FL",5.72794028200852
"puma_1203106","FL",5.74730635316613
"puma_1203107","FL",5.70568166017759
"puma_1203301","FL",5.44307769902538
"puma_1203302","FL",5.4597715843355
"puma_1203500","FL",5.80763430072441
"puma_1205301","FL",5.91757143360087
"puma_1205701","FL",6.11412384737262
"puma_1205702","FL",6.11412384737262
"puma_1205703","FL",6.10793616866011
"puma_1205704","FL",6.11412384737262
"puma_1205705","FL",6.10949445851397
"puma_1205706","FL",6.09459352136936
"puma_1205707","FL",6.09488156940741
"puma_1205708","FL",6.09026458025517
"puma_1206100","FL",6.1658020292525
"puma_1206300","FL",5.43534617932575
"puma_1206901","FL",5.85566701399079
"puma_1206902","FL",5.95584489241802
"puma_1206903","FL",5.99174594873192
"puma_1207101","FL",6.28811886345619
"puma_1207102","FL",6.28722001542445
"puma_1207103","FL",6.26249037016268
"puma_1207104","FL",6.28773183396464
"puma_1207105","FL",6.2705310930721
"puma_1207300","FL",5.44305757428247
"puma_1207301","FL",5.44212964162133
"puma_1208101","FL",6.1339410818397
"puma_1208102","FL",6.15324724542109
"puma_1208103","FL",6.15071789044559
"puma_1208301","FL",5.86435777896528
"puma_1208302","FL",5.93279136001424
"puma_1208303","FL",5.92454503663778
"puma_1208500","FL",6.25702476591424
"puma_1208601","FL",6.39601518757144
"puma_1208602","FL",6.38516805011969
"puma_1208603","FL",6.3691503280084
"puma_1208604","FL",6.37437823631238
"puma_1208605","FL",6.3691503280084
"puma_1208606","FL",6.38684415210177
"puma_1208607","FL",6.39601518757144
"puma_1208608","FL",6.38766615189309
"puma_1208609","FL",6.37916904785737
"puma_1208610","FL",6.38450619045202
"puma_1208611","FL",6.38685951525782
"puma_1208612","FL",6.39121762535834
"puma_1208613","FL",6.38508911514113
"puma_1208614","FL",6.41105856481526
"puma_1208615","FL",6.39436322024253
"puma_1208616","FL",6.4087163641522
"puma_1208617","FL",6.40208761889367
"puma_1208618","FL",6.37422124732065
"puma_1208619","FL",6.35523492604044
"puma_1208620","FL",6.3842506743709
"puma_1208621","FL",6.34392789250864
"puma_1208622","FL",6.31298056664538
"puma_1208623","FL",6.32729382644208
"puma_1208624","FL",6.325873203988
"puma_1208700","FL",6.42578781961746
"puma_1208900","FL",5.59079167502347
"puma_1209100","FL",5.38923043267778
"puma_1209300","FL",6.1585736460531
"puma_1209501","FL",5.91891204109591
"puma_1209502","FL",6.06791255302864
"puma_1209503","FL",6.05425587182179
"puma_1209504","FL",6.10210829286718
