bus_id,Pmax,bus_capacity,true_load
107981,0.0,172.0,3.866747379879742
107982,0.0,1146.0,3.3360769765851956
107983,0.0,786.0,0.0
107984,0.0,786.0,0.0
107985,0.0,86.0,12.988500243386847
107988,0.0,2038.0,11.198818109639912
107989,0.0,446.0,0.0
107990,0.0,786.0,0.0
107991,0.0,892.0,50.091332652527846
107993,0.0,446.0,0.0
107994,0.0,2230.0,19.22881925519434
107995,0.0,2038.0,19.22881925519434
107997,0.0,892.0,3.109515686926493
107998,0.0,172.0,9.241875963393264
107999,0.0,786.0,0.7374646005669189
108000,0.0,872.0,8.548507184303542
108001,0.0,700.0,0.0
108002,0.0,892.0,7.105509440101468
108003,0.0,258.0,6.900235788397274
108004,0.0,172.0,0.0
108005,0.0,86.0,0.0
108006,0.0,478.0,2.677680745563596
108007,0.0,239.0,3.089748594540163
108008,0.0,478.0,1.7881615881787558
108009,0.0,478.0,20.503036441328522
108010,0.0,717.0,25.628795551660655
108011,0.0,478.0,5.928607170330756
108012,0.0,2100.0,50.82727670752659
108013,0.0,446.0,0.0
108014,0.0,1784.0,12.667665128501032
108016,0.0,892.0,0.0
108017,0.0,1400.0,0.0
108019,0.0,446.0,2.924009127608629
108020,0.0,1793.0,0.0
108021,0.0,446.0,0.0
108022,0.0,86.0,0.0
108023,0.0,86.0,0.0
108024,40.0,1338.0,3.422748073971411
108025,0.0,1146.0,12.416775109751464
108027,0.0,786.0,7.29557763612387
108028,0.0,258.0,6.430387207829897
108029,0.0,956.0,15.571907163723331
108030,0.0,478.0,10.183093670096197
108031,0.0,325.0,0.0
108032,0.0,939.0,0.0
108033,0.0,478.0,0.0
108034,0.0,239.0,0.0
108035,0.0,172.0,4.265130318742696
108036,0.0,172.0,0.0
108037,0.0,172.0,6.758825050556608
108038,0.0,258.0,50.09285319809604
108039,0.0,939.0,5.390334039195314
108041,0.0,939.0,8.594123551348918
108042,0.0,478.0,4.855101999196231
108043,0.0,172.0,2.7582696606770947
108045,31.3,478.0,0.0
108046,0.0,939.0,0.0
108047,0.0,786.0,3.2022689665854247
108048,31.3,239.0,0.0
108049,0.0,717.0,1.4749292011338377
108050,110.5,3295.0,7.929645138054601
108051,9.0,239.0,0.0
108052,110.5,939.0,0.0
108053,0.0,239.0,0.0
108054,0.0,478.0,0.0
108055,0.0,939.0,14.055923232248656
108057,0.0,1400.0,0.0
108059,0.0,86.0,0.0
108060,0.0,892.0,6.971701430101697
108062,0.0,1338.0,28.12857246574728
108063,3.5,892.0,0.0
108064,0.0,172.0,1.5950523010199955
108065,0.0,172.0,7.99198750634995
108066,0.0,892.0,1.8915586868149423
108067,0.0,172.0,0.8469438814758223
108068,0.0,892.0,1.70301103636072
