plant_id,bus_id,distance,plant_Pmax,bus_capacity,true_load
718,310489,9.133810210429344,9.0,86.0,0.0
719,309468,7243.4192712453,44.0,700.0,0.0
720,309057,2276.7945561276933,27.3,700.0,0.0
721,302290,26677.51487976979,10.0,939.0,4.4834641957343395
722,302290,31824.91834135262,72.0,939.0,4.4834641957343395
723,308320,20350.802013579952,24.2,478.0,44.2139225753424
726,306312,3540.1985533156367,41.9,700.0,0.0
727,300266,6678.479270184549,10.0,1400.0,11.180312095258698
728,306312,9045.542972330712,67.2,700.0,0.0
733,303371,6313.05446112865,149.8,1497.0,146.27329550655435
737,303371,6313.05446112865,71.0,1497.0,146.27329550655435
738,303371,6313.05446112865,16.0,1497.0,146.27329550655435
742,300321,19.352372361813607,15.3,700.0,12.492437763972543
743,309436,28.27719835444653,122.4,1497.0,0.0
745,307154,1909.708576588777,6.1,2197.0,0.0
746,307154,21.81300782430208,79.2,2197.0,0.0
747,306332,7.364265493608985,2.7,1879.0,1.323170497575071
748,306484,746.604152743561,157.8,1594.0,16.67474629275741
750,306484,10.25644448860541,161.6,1594.0,16.67474629275741
752,306484,24400.872084123344,74.1,1594.0,16.67474629275741
753,306484,15017.332050975148,25.5,1594.0,16.67474629275741
754,300800,31846.29929004277,266.5,3888.0,8.238706008551738
761,304479,1236.6536307576396,351.0,2800.0,22.115428989798144
762,304479,1236.6536307576396,293.1,2800.0,22.115428989798144
771,305600,62.54938541319019,170.8,2186.0,6.4354536164753045
775,310824,2498.518893858512,4.5,1486.0,0.0
777,302308,281.77830974475336,198.6,2197.0,48.0987570467982
780,308933,16004.63617274965,154.4,5094.0,0.0
782,308933,270.9780991941782,117.0,5094.0,0.0
785,306029,3383.1389021122613,13.4,1594.0,24.96352219214671
787,310457,276.56918734686536,714.0,2100.0,0.0
794,306069,61.57103948270588,25.2,700.0,6.137243237222159
800,307545,494.596707230267,120.0,6211.198922876133,0.0
804,306069,4136.329215741025,424.0,700.0,6.137243237222159
812,308933,2807.5143444865184,180.0,5094.0,0.0
814,310457,30236.631938621475,140.0,2100.0,0.0
816,309538,20.30354735654444,315.0,4593.0,1.1619159962011476
818,309979,452.7044996263231,46.7,172.0,0.0
